index,AccX_Max,AccX_Mean,AccX_Median,AccX_Min,AccX_Root mean square,AccX_Spectral centroid,AccX_Spectral roll-off,AccX_Standard deviation,AccX_Variance,AccX_Zero crossing rate,AccY_Max,AccY_Mean,AccY_Median,AccY_Min,AccY_Root mean square,AccY_Spectral centroid,AccY_Spectral roll-off,AccY_Standard deviation,AccY_Variance,AccY_Zero crossing rate,AccZ_Max,AccZ_Mean,AccZ_Median,AccZ_Min,AccZ_Root mean square,AccZ_Spectral centroid,AccZ_Spectral roll-off,AccZ_Standard deviation,AccZ_Variance,AccZ_Zero crossing rate,Sound_Max,Sound_Mean,Sound_Median,Sound_Min,Sound_Root mean square,Sound_Spectral centroid,Sound_Spectral roll-off,Sound_Standard deviation,Sound_Variance,Sound_Zero crossing rate,timestamp,time,ToolIdx,PassID,PassNumber,Broche/ActualSpeed_Max,Broche/ActualSpeed_Mean,Broche/ActualSpeed_Median,Broche/ActualSpeed_Min,Broche/ActualSpeed_Root mean square,Broche/ActualSpeed_Spectral centroid,Broche/ActualSpeed_Spectral roll-off,Broche/ActualSpeed_Standard deviation,Broche/ActualSpeed_Variance,Broche/ActualSpeed_Zero crossing rate,Axe_X_master/ActualVelocity_Max,Axe_X_master/ActualVelocity_Mean,Axe_X_master/ActualVelocity_Median,Axe_X_master/ActualVelocity_Min,Axe_X_master/ActualVelocity_Root mean square,Axe_X_master/ActualVelocity_Spectral centroid,Axe_X_master/ActualVelocity_Spectral roll-off,Axe_X_master/ActualVelocity_Standard deviation,Axe_X_master/ActualVelocity_Variance,Axe_X_master/ActualVelocity_Zero crossing rate,Broche/StatusTorqueData.ActualTorque_Max,Broche/StatusTorqueData.ActualTorque_Mean,Broche/StatusTorqueData.ActualTorque_Median,Broche/StatusTorqueData.ActualTorque_Min,Broche/StatusTorqueData.ActualTorque_Root mean square,Broche/StatusTorqueData.ActualTorque_Spectral centroid,Broche/StatusTorqueData.ActualTorque_Spectral roll-off,Broche/StatusTorqueData.ActualTorque_Standard deviation,Broche/StatusTorqueData.ActualTorque_Variance,Broche/StatusTorqueData.ActualTorque_Zero crossing rate,Axe_X_master/ActualPosition_Max,Axe_X_master/ActualPosition_Mean,Axe_X_master/ActualPosition_Median,Axe_X_master/ActualPosition_Min,Axe_X_master/ActualPosition_Root mean square,Axe_X_master/ActualPosition_Spectral centroid,Axe_X_master/ActualPosition_Spectral roll-off,Axe_X_master/ActualPosition_Standard deviation,Axe_X_master/ActualPosition_Variance,Axe_X_master/ActualPosition_Zero crossing rate,DB_PASSES/NUMERO_PASSE,DB_PASSES/SELECTION_ALLIAGE,DB_PASSES/EPAISSEUR_BRUTE,DB_PASSES/NUMERO_OF,DB_PASSES/PASSE_ACTIVE.EPAISSEUR,DB_PASSES/COMPTEUR_RESET_PASSES,pass_type,sensor_file,y
0,0.644695758834132,-0.001512882929069703,-0.0018477439734851941,-0.6159663200232899,0.13847884445112985,10089.005325234762,16985.370741482962,0.13847058007303625,0.019174101545763142,99878.0,0.44608116151357535,-0.0031285368820677096,-0.003170967087498866,-0.427842140183202,0.09541538564170256,8759.331570607412,17026.853707414826,0.09536408167718262,0.009094308074132359,75387.0,0.6535291671898449,-0.0031160417059588083,-0.002878904328099452,-0.5833029746863758,0.14002678177692798,8286.98220687268,14109.819639278556,0.1399921065592276,0.019597789898890137,78261.0,3.6596179008301988,-0.0017922819141255489,-0.05008280279071187,-3.6045193672362075,1.1838488282836965,4506.319483155564,15492.785571142284,1.1838474715748737,1.4014948359542212,8758.0,1754006153.4099,580.0,0,1,1,320.4457260668278,320.0180307626724,320.0918711721897,319.35718953609467,320.0181678930496,0.006520671499024079,0.0,0.29625732959317863,0.08776840533768127,0.0,2406.4543672383074,2400.1037398165436,2400.402354116676,2395.9448833743973,2400.105260863266,0.006159083575518167,0.0,2.702099585491503,7.301342169913352,0.0,897.300632417202,872.8479115730524,875.2801134139299,839.052807956934,872.9933376342385,0.1347492233421399,0.0,15.933951685894288,253.8908163284134,0.0,1523.145,1425.1286200000002,1425.146,1327.147,1426.2968730246519,0.12058488253604273,0.6000000000000001,57.71643142810893,3331.186456795601,0.0,8.0,1.0,29.200000762939453,6341408.0,25.399999618530273,37.0,Roughing,pass_000001.parquet,877.9850855547189
1,0.6316781044151867,-0.0015119236406885585,-0.001549720749608241,-0.6324529647681629,0.1390198783586531,10104.681245342283,16974.549098196392,0.13901165658231482,0.01932424066575943,100092.0,0.43164491654897574,-0.0030363793218032903,-0.0032246112677967176,-0.4462599754187977,0.09571790715733884,8774.526031034777,17052.304609218434,0.09566973477121729,0.009152698151195062,76025.0,0.6481528282311046,-0.003189342697800738,-0.003266334519139491,-0.7373213767859852,0.140029402619911,8288.272179371175,14157.715430861723,0.13999307729757612,0.019598061691245127,78412.0,4.538774490338255,-0.0024818726857203897,-0.12772977353961323,-3.8892507553282485,1.2519772682033334,4588.727877211796,15549.298597194387,1.2519748082153463,1.567440920405853,7623.0,1754006158.3999,584.99,0,1,1,320.51678225398064,320.0057825446129,320.010082796216,319.3384051322937,320.00587909684845,0.005545877530806272,0.0,0.2485851096027706,0.06179455671622147,0.0,2405.1497416552015,2399.815272604278,2400.0399581213687,2394.2053825969224,2399.8165358851443,0.00532250803334408,0.0,2.4623734536264066,6.063283025124037,0.0,905.8247042894363,877.9850855547189,882.8097102344036,843.8831153512001,878.1248379433497,0.13378130767980642,0.0,15.665904267134549,245.42055650702446,0.0,1723.146,1625.12536,1625.146,1527.066,1626.1505104263504,0.10689031282062827,0.4,57.7325458017434,3333.046844750399,0.0,8.0,1.0,29.200000762939453,6341408.0,25.399999618530273,37.0,Roughing,pass_000001.parquet,886.3329932749272
2,0.6106853485252941,-0.001493676676082925,-0.0012159347388660535,-0.5958557128760731,0.13860295364762631,10105.340336267362,17061.723446893786,0.1385949049923314,0.01920854768983337,100070.0,0.47043561936879996,-0.0031627364505237743,-0.0032186508033191785,-0.43380260466074105,0.09637768644138665,8749.408776536737,17106.613226452904,0.09632577817977268,0.009278655541938772,75441.0,0.6458282470848644,-0.0029864808574436934,-0.0027418136451160535,-0.6171226501319325,0.13915989674846904,8268.081047241405,14211.222444889778,0.13912784694349542,0.019356557795132685,77993.0,4.478609561901976,-0.0016017612513037046,-0.06951391698748921,-4.374599456805299,1.3598230854448539,4453.674748504188,15515.831663326651,1.3598221420721375,1.8491162580696563,7460.0,1754006163.3899,589.98,0,1,1,320.7979582250118,320.0023044794798,320.010082796216,319.3607546389103,320.00242792384336,0.006582763679655422,0.0,0.2810782397175169,0.0790049768426979,0.0,2406.526846437369,2400.151576087924,2399.9674789223072,2393.190673810062,2400.1534525973234,0.006463521379811188,0.0,3.001302635169161,9.007817507873352,0.0,911.5074188709259,886.3329932749272,889.6289677321911,848.4292870163918,886.474860325543,0.1319032352808687,0.0,15.858846789687558,251.50302149878334,0.0,1923.067,1825.119,1825.105,1727.146,1826.031500751452,0.09586026651136277,0.2,57.720685855246046,3331.6775756000006,0.0,8.0,1.0,29.200000762939453,6341408.0,25.399999618530273,37.0,Roughing,pass_000001.parquet,883.707579138279
3,0.6354570388939464,-0.0014545456892710443,-0.0006556510779773816,-0.6774902343604481,0.13890580990670068,10116.535371111955,17048.29659318637,0.13889819409435922,0.01929270832267429,99861.0,0.46526193620229606,-0.003130115031500119,-0.003457069382420741,-0.4609107971045887,0.09573196677221826,8782.835280502211,17114.62925851703,0.09568078094354518,0.00915481184196668,76217.0,0.5806803703453625,-0.0030371797440971577,-0.00289082525705453,-0.5761504173133289,0.1389864157392436,8301.406502935546,14273.947895791582,0.13895322701990015,0.019307999299243907,78235.0,4.397803544979979,-0.0020473443735915236,-0.028479099291871535,-4.706794023531984,1.4297588041446452,4474.642786842118,15565.531062124246,1.429757338295608,2.0442060464101415,7756.0,1754006168.3799,594.97,0,1,1,320.52843645215034,319.9876054376364,320.03891095519066,319.3848989903927,319.9877517989053,0.006271499002242697,0.0,0.30605163838942795,0.09366760536085315,0.0,2406.2369296411234,2400.071848968956,2400.0761977208995,2393.9154658006764,2400.073305051865,0.0053945447633028405,0.0,2.643749103067353,6.9894093199694325,0.0,913.4963689744473,883.707579138279,886.3614068478346,854.3961373269558,883.864868401259,0.14288944950657925,0.0,16.673936773814177,278.02016753715276,0.0,2123.146,2025.1285999999996,2025.147,1927.147,2025.9512014116726,0.0869965721804839,0.2,57.7271510074766,3332.4239634400064,0.0,8.0,1.0,29.200000762939453,6341408.0,25.399999618530273,37.0,Roughing,pass_000001.parquet,887.1001597434282
4,0.6372690200951183,-0.001552670940628251,-0.0010490417334949598,-0.6463289260718739,0.13831041360071014,10115.47332308198,17083.96793587174,0.13830169819401944,0.019127359723349637,100030.0,0.446939468398341,-0.0031548771779587163,-0.003445148453465663,-0.4436016082618153,0.09681351689559643,8761.146555787762,17127.05410821643,0.09676209900413452,0.00936290380368593,75882.0,0.6137013435509289,-0.0031067418285474304,-0.002777576431981288,-0.5963563918921864,0.14084402312393737,8281.639043054876,14252.304609218436,0.14080975465125617,0.019827387004946958,78072.0,4.129403829556395,-0.0024328586157293637,0.08449256418316509,-4.978549480456422,1.4905475214815402,4472.886602929425,15596.39278557114,1.4905455360349507,2.2217259949937183,6810.0,1754006173.3699,599.96,0,1,1,320.49981728196144,320.0211178958416,320.0601540505886,319.377301633358,320.021225193408,0.00666532910675035,0.0,0.26205912650613594,0.06867498578515896,0.0,2407.469076025168,2399.932688906758,2399.7138017255925,2394.4228201941064,2399.934168148687,0.005433164147547078,0.0,2.664613350805532,7.100164309291085,0.0,915.7694548070431,887.1001597434282,891.1917142421007,846.4403369128704,887.2518828562087,0.13021870916045628,0.0,16.407626734889313,269.2102150714545,0.0,2323.0660000000003,2225.1333000000004,2225.147,2127.146,2225.881761393812,0.07958825012531798,0.2,57.71839340045772,3331.412936730001,0.0,8.0,1.0,29.200000762939453,6341408.0,25.399999618530273,37.0,Roughing,pass_000001.parquet,890.2767971944809
5,0.6070733070519054,-0.0016323198271387597,-0.0011861324164783582,-0.6196379661414539,0.13857826153678754,10123.807337090026,17072.54509018036,0.13856864761749038,0.019201270102540222,100041.0,0.41568279267812613,-0.003175562557831774,-0.0038623809668933973,-0.4403114318702137,0.09619207013887267,8765.620048185061,17113.82765531062,0.09613963885954169,0.009242830160043097,75167.0,0.6571292877342785,-0.003141805067111809,-0.0025570392463123426,-0.630640983566991,0.13964007092861078,8307.587124265068,14274.54909819639,0.13960472223341056,0.01948947846986772,78595.0,4.0921688079652085,-0.0016016663795820356,0.13546943662731792,-5.42488694192798,1.4468155865205443,4566.062322128646,15711.42284569138,1.446814699974947,2.0932727760635954,6500.0,1754006178.3599,604.95,0,1,1,320.4770252108574,320.0082746744156,320.04248835146427,319.51407864689827,320.0083475338805,0.004842001302666192,0.0,0.21594274387647402,0.04663126863290046,0.0,2405.9470128448775,2400.3719128530706,2400.257395718553,2395.6549665781513,2400.373041678478,0.005061225170033838,0.0,2.327918142818298,5.419202879662595,0.0,910.6550116837025,890.2767971944809,895.5958180427551,849.2816942036152,890.420340763269,0.12872638872169764,0.0,15.987733488932333,255.60762211312846,0.0,2523.146,2425.13666,2425.185,2327.147,2425.8236776574795,0.07337367992424504,0.2,57.72950205661227,3332.6954077044,0.0,8.0,1.0,29.200000762939453,6341408.0,25.399999618530273,37.0,Roughing,pass_000001.parquet,892.7771916103363
6,0.635695457473048,-0.0016023334350965578,-0.0016689300391590223,-0.6501555442664539,0.13837361237498474,10120.846023993774,17059.719438877753,0.1383643347444178,0.019144689129265303,100029.0,0.4733562469627941,-0.003219559027600841,-0.003826618180028163,-0.408315658554784,0.09501528780806008,8797.082863118618,17112.424849699397,0.09496072533903836,0.009017539356916283,76782.0,0.6055593490746105,-0.0029808722873218823,-0.002211332306615077,-0.6442904472205555,0.14032495651421953,8302.531790128829,14280.360721442885,0.1402932921458623,0.019682207821124273,78756.0,4.223477840405394,-0.002725070983981646,0.02667307851879741,-4.931730031985353,1.496585316404974,4461.2893114129865,15620.440881763525,1.4965828354177755,2.239760183267108,7627.0,1754006183.3499,609.94,0,1,1,320.6312343478203,320.03688056766987,320.0266297906637,319.36210691928864,320.03704538521725,0.007552305721947457,0.0,0.3248005767162088,0.10549541463518185,0.0,2404.3524704655256,2399.9138443150023,2399.9312393227765,2394.8576953884753,2399.9150236888877,0.004869493283301075,0.0,2.3792420686179985,5.660792821081653,0.0,917.47426918149,892.7771916103363,895.8799537718296,859.2264447212219,892.9310324705724,0.13273140943833073,0.0,16.574525312159345,274.7148893234109,0.0,2723.145,2625.1317000000004,2625.1065,2527.0660000000003,2625.766387662105,0.06808629855978267,0.0,57.72937061158729,3332.6802312099985,0.0,8.0,1.0,29.200000762939453,6341408.0,25.399999618530273,37.0,Roughing,pass_000001.parquet,893.2715877789259
7,0.6298422813561046,-0.0015011902655979231,-0.001835823044530116,-0.7233977317664539,0.13852529163651117,10130.814900310006,17084.168336673345,0.13851715724330665,0.019187002850766945,100306.0,0.4488825798180187,-0.0031152218733347284,-0.0034213065955555066,-0.42906999586557504,0.09634993488269163,8766.710801850548,17114.62925851703,0.09629956045890767,0.009273605344578812,75300.0,0.6152272224571789,-0.0032639422108718327,-0.0030398368689930066,-0.6688952445838368,0.14009700229604166,8311.128541350481,14301.803607214428,0.14005897591222488,0.01961651673358119,78391.0,5.275285243969847,-0.0032225850710986747,-0.11499226095111226,-4.5263051986876235,1.5943336112240398,4403.855883303851,15570.340681362724,1.5943303543570095,2.5418892788241476,6801.0,1754006188.3399,614.93,0,1,1,320.60084491968155,320.00773867964745,320.00425569713116,319.2494496703148,320.0078746062466,0.007065178453388179,0.0,0.2949493952349807,0.08699514574948086,0.0,2405.9470128448775,2399.9457351625892,2399.9674789223072,2392.10348582414,2399.9476542992566,0.006240603632592567,0.0,3.0350702469228175,9.211651403756132,0.0,919.1790835559368,893.2715877789259,896.5902930945158,851.2706443071365,893.4258438510132,0.1271398478919772,0.0,16.601473663854126,275.60892781164216,0.0,2923.147,2825.1365600000004,2825.1465,2727.0660000000003,2825.726175715694,0.06347750553642327,0.0,57.72207096255643,3331.8374762064004,0.0,8.0,1.0,29.200000762939453,6341408.0,25.399999618530273,37.0,Roughing,pass_000001.parquet,893.2374914914369
8,0.6515979766991222,-0.001583836823782346,-0.0016927718970691785,-0.5541324615332996,0.14009600711997622,10113.575336305325,17021.442885771543,0.14008705390533438,0.01962438267187606,99935.0,0.5084514618065441,-0.0032868812793927856,-0.0036120414588367566,-0.4090309142920887,0.09706249196238596,8762.137965564902,17050.70140280561,0.09700682325178688,0.009410323757403418,75718.0,0.6140589714195812,-0.003089047192353503,-0.0026702880713855848,-0.6689429282996571,0.14082378252365935,8271.494681696106,14247.494989979958,0.14078989847185172,0.019821795511714313,77911.0,5.091589689236571,-0.0006123441854654088,-0.2399146557036147,-4.40414547922046,1.6498524285349048,4457.60123903545,15605.611222444888,1.6498523148988582,2.722012660977121,5259.0,1754006193.3299,619.92,0,1,1,320.48683539032936,320.00768557190895,320.0252775102854,319.52706053853035,320.00776215585336,0.005303821056008863,0.0,0.2213931062268378,0.04901490748476789,0.0,2405.9470128448775,2400.3066815739153,2400.1849165194917,2393.9154658006764,2400.308130435669,0.005851766417821478,0.0,2.6373143911850123,6.955427197951572,0.0,914.3487761616707,893.2374914914369,897.4427002817392,852.4071872234344,893.3752189602554,0.13289116149593957,0.0,15.686479731585338,246.06564636943764,0.0,3123.146,3025.13662,3025.1065,2927.147,3025.687291050141,0.059421492198149434,0.0,57.72359619181397,3332.0135573156003,0.0,8.0,1.0,29.200000762939453,6341408.0,25.399999618530273,37.0,Roughing,pass_000001.parquet,897.7722977274657
10,0.6842255592491711,-0.0014792897474600814,-0.0015199184272205457,-0.7297039031836903,0.14870102433785437,10124.261278821326,16690.190190190187,0.1486936661091192,0.02210980634097022,201680.0,0.46787261964345817,-0.00299631679715,-0.0033378600928699598,-0.44023990629648324,0.09196219061421605,9065.011097075288,16921.62162162162,0.09191336457891487,0.008448066588216523,164900.0,0.6756305694725597,-0.002956032111963562,-0.002515315994969569,-0.7348418235633289,0.14603395597396399,8519.782061259753,13717.817817817817,0.1460040347783536,0.02131717817155869,164649.0,3.735649585705687,-0.0021890627702358012,-0.016397237795899855,-4.170376062411378,1.3128349662275343,3278.4673933216113,14122.62262262262,1.3128331411698284,1.7235308565538388,9395.0,1754006288.9099,715.5,0,2,2,350.563345849514,349.9952998235822,350.0085789710283,349.61249604821205,349.9953536713257,0.005229301931064982,0.0,0.19414663825097472,0.03769291714415484,0.0,1203.734538012584,1199.9837394611538,1200.001859260919,1197.138930897992,1199.9847184306477,0.008347080599536517,0.0,1.5328065455444866,2.349495906064022,0.0,430.7497652769089,395.2100682842731,395.5169348716736,355.1696613430977,395.56083263046935,0.29758371573509357,3.1,16.654556074851385,277.37423805036923,0.0,1523.671,1424.6526199999998,1424.671,1325.631,1425.8218215016489,0.11840649079041096,0.5,57.730226029486495,3332.7789974156,0.0,9.0,1.0,29.200000762939453,6341408.0,25.100000381469727,38.0,Pre-Finishing,pass_000002.parquet,394.7838646906614
