Axe_X_master/ActualVelocity_Max,Broche/StatusTorqueData.ActualTorque_Max,Axe_X_master/ActualVelocity_Variance,Axe_X_master/ActualVelocity_Standard deviation,Axe_X_master/ActualVelocity_Root mean square,Axe_X_master/ActualVelocity_Mean,Axe_X_master/ActualVelocity_Median,Broche/StatusTorqueData.ActualTorque_Root mean square,Broche/StatusTorqueData.ActualTorque_Median,Broche/StatusTorqueData.ActualTorque_Mean,Axe_X_master/ActualVelocity_Min,Axe_X_master/ActualPosition_Spectral roll-off,Sound_Spectral centroid,Axe_X_master/ActualPosition_Spectral centroid,AccY_Zero crossing rate,AccX_Zero crossing rate,AccZ_Zero crossing rate,AccZ_Spectral roll-off,Broche/StatusTorqueData.ActualTorque_Spectral centroid,Broche/StatusTorqueData.ActualTorque_Variance,Broche/StatusTorqueData.ActualTorque_Standard deviation,Broche/StatusTorqueData.ActualTorque_Min,Sound_Spectral roll-off,Broche/ActualSpeed_Max,Broche/StatusTorqueData.ActualTorque_Spectral roll-off,Axe_X_master/ActualVelocity_Spectral centroid,AccX_Spectral roll-off,Broche/ActualSpeed_Variance,Broche/ActualSpeed_Standard deviation,Broche/ActualSpeed_Root mean square,Broche/ActualSpeed_Mean,Broche/ActualSpeed_Min,Broche/ActualSpeed_Median,AccY_Root mean square,AccY_Variance,AccY_Standard deviation,AccY_Spectral roll-off,Axe_X_master/ActualPosition_Max,AccZ_Spectral centroid,AccY_Min,AccX_Max,AccY_Max,AccX_Root mean square,AccX_Standard deviation,AccX_Variance,AccX_Min,Sound_Median,AccY_Spectral centroid,AccX_Spectral centroid,Sound_Root mean square,Sound_Variance,Sound_Standard deviation,AccX_Median,DB_PASSES/NUMERO_PASSE,Axe_X_master/ActualPosition_Min,DB_PASSES/EPAISSEUR_BRUTE,AccZ_Min,Sound_Zero crossing rate,AccZ_Max,Axe_X_master/ActualVelocity_Spectral roll-off,index,pass_type,sensor_file,DB_PASSES/NUMERO_OF,DB_PASSES/SELECTION_ALLIAGE,DB_PASSES/COMPTEUR_RESET_PASSES,PassNumber,ToolIdx,PassID,y,timestamp,time
2407.469076025168,924.0093909502029,7.098293632558113,2.664262305509372,2400.030565034306,2400.02908624151,2400.003718521838,887.7120103735622,891.0496463775635,887.5309095087051,2392.10348582414,2.98,4724.396246915827,0.42767370893711915,757505.0,1000458.0,782280.0,14173.620153496917,0.2386196701513867,321.49802812200244,17.93036609001619,839.052807956934,15769.53117758959,320.7979582250118,2.4,0.013836243355047205,17123.09763371862,0.07496072805664115,0.273789568933225,320.0079171718509,320.00780004858973,319.2494496703148,320.0317684561014,0.09611983252556457,0.009229027543782357,0.09606782782899985,17153.21785910929,3323.146,8263.914574030994,-0.4609107971045887,0.655221939101466,0.5084514618065441,0.1388271182178016,0.13881850581249716,0.019270577556014308,-0.7233977317664539,-0.053340196627686964,8748.773708743935,10103.747073770452,1.4755871365476685,2.1773531679365674,1.4755857033519155,-0.0014305114600574598,8.0,1327.147,29.200000762939453,-0.7373213767859852,69548.0,0.6571292877342785,0.0,0,Roughing,pass_000001.parquet,6341408.0,1.0,37.0,1,0,1,399.2106993496418,1754006153.4099,580.0
1204.3868508041369,436.43247985839844,2.2859128594318197,1.5119235626948273,1200.0165827596484,1200.0156303087408,1200.0380988604497,398.3799594558094,399.2106993496418,398.0139196587801,1196.05174291207,2.9,3436.222390971337,0.40689957767290724,1666001.0,2024632.0,1657292.0,13668.034617608955,0.5324630485797893,291.51185386653026,17.073718220309548,350.33935394883156,14559.275635816908,350.61296224594116,4.16,0.01845373255731668,16771.26707425749,0.03633012490083035,0.19060462979904333,349.96829279479135,349.9682408899069,349.4099982082844,349.97146502137184,0.09070775817909424,0.008217815302755092,0.09065216656404353,17010.3761235295,3323.6710000000003,8558.51094333423,-0.47019720076059457,0.7403254509117687,0.4704594612267101,0.1482143241197887,0.14820523872624972,0.021964792785904668,-0.7492065429541981,0.0013649463471665513,9123.927343964011,10160.532235025596,1.4478482798310472,2.096260147418482,1.4478467278750475,-0.0016808509681141004,9.0,1325.631,29.200000762939453,-0.7978081703040516,81747.0,0.7679104805138195,0.0,1,Pre-Finishing,pass_000002.parquet,6341408.0,1.0,38.0,2,0,2,139.2265072464943,1754006288.9099,715.5
652.2403123540007,174.74347338080406,0.7286436555433728,0.8536062649391538,650.0063854669402,650.005824977085,649.9934571830956,140.55874817805446,139.2265072464943,139.63285520140036,647.5291644150062,2.8169014084507036,3254.8346612662904,0.3901098160703215,3176968.0,3763718.0,3130326.0,13659.217661352619,1.0928933745427978,259.4274376864845,16.106751307649986,102.85713392496109,14039.69457456713,350.6053648889065,4.398699891657637,0.025964097482271048,16734.48553733258,0.03073836405261534,0.17532359810537582,350.00416525860896,350.00412134718016,349.40643310546875,350.0083576887846,0.08546787110041737,0.007294912991169919,0.08541026279768679,17046.946199600785,3324.253,8716.526969954488,-0.47991275785898324,0.77028274537588,0.4413247108604992,0.14543489903214019,0.14542711057550575,0.021149044490340375,-0.9294867515418446,0.012469291668821825,9313.008314476776,10251.640540165277,1.4351510249416537,2.0596539923981574,1.4351494669190932,-0.0015020370337879285,10.0,1325.481,29.200000762939453,-0.7603645324561512,145624.0,0.7476687431480968,0.0,2,Finishing,pass_000003.parquet,6341408.0,1.0,39.0,3,0,3,789.3290553689003,1754006642.497,169.1
1403.9220858203125,933.6700057387352,2.5598029838488667,1.5999384312681744,1400.0296745454136,1400.028760349141,1400.153167469117,743.6609065884895,789.3290553689003,719.4034845265304,1395.659457127307,2.9054842473745626,4213.554890366709,0.41065935642685086,1298495.0,1710703.0,1346704.0,13967.834705655752,0.4903600589029388,35490.17043910026,188.38835006204673,149.17125776410103,15151.92314488226,320.7541689276695,3.4772462077012833,0.01662620491465673,16902.214689773748,0.07027672008266439,0.2650975671006137,319.9902376565254,319.9901278457814,319.1394969820976,320.0071692466736,0.09322163296294741,0.008679678451945064,0.09316479191167157,16904.025436908458,3324.105,8248.487106126317,-0.5080461501929676,0.6684899330284679,0.515604019179591,0.13540320870527123,0.13539189543507582,0.018330965349502508,-0.6594538688514149,-0.08057951929004048,8676.136709001263,10037.80637738917,1.4988028128777275,2.2464052030625936,1.4988012553579588,-0.0015139579627430066,1.0,1326.7250000000001,29.200000762939453,-0.6926178932044422,95764.0,0.6817221641686046,0.0,3,Blanking,pass_000004.parquet,6341408.0,1.0,40.0,4,0,4,485.0196895301342,1754007258.7970002,785.4
1403.9220858203125,559.179114818573,2.6080813778468053,1.6149555343249564,1399.9779330471756,1399.977001574549,1399.9357298719326,486.38731457628336,485.0196895301342,485.17883206217124,1396.1668115207372,2.9054842473745626,3462.772095975038,0.4107689547972137,1317309.0,1717213.0,1382293.0,13383.290483852079,0.5088110689392357,1174.1206995158893,34.265444685803935,379.8894697725773,14612.180311863227,320.80870270729065,4.387397899649941,0.01637988827327103,16703.534841257348,0.08833642309182674,0.2972144395749082,319.99616879860275,319.99603077125937,319.11176294088364,319.9995718896389,0.09269813978697364,0.00858353429771888,0.09264736530370887,16772.121269824394,3322.8450000000003,8198.288101816805,-0.46148300169443246,0.6817579269554699,0.45360326768422965,0.13505967140744332,0.1350505272711561,0.01823864491621728,-0.6782770156714832,-0.06830692293078755,8582.642365498268,9868.835993461016,1.5332985875115464,2.351000658972336,1.5332973159085408,-0.0014901161048328504,2.0,1325.464,29.200000762939453,-0.6722450256202137,72014.0,0.6555676460411632,0.0,4,Blanking,pass_000005.parquet,6341408.0,1.0,41.0,5,0,5,525.935234516859,1754007443.184125,69.8
1404.0670442184355,588.7292306423187,2.6777894635634842,1.6363952650761013,1400.022697114972,1400.0217407767698,1399.9357298719326,522.3602852559031,525.935234516859,521.5379274285104,1395.949373923553,2.9054842473745626,3541.5079678275883,0.4106720796819882,1327308.0,1733021.0,1386487.0,13525.918946869466,0.44689952735919536,858.4578662023747,29.299451636547307,433.3069868385792,14837.06342375484,320.73850706219673,4.340723453908985,0.01639127316798788,16726.79418025871,0.08870890558650751,0.2978404028779633,319.99061279739044,319.99047418562924,319.18463855981827,320.0089640915394,0.09196727587952347,0.008448303739245376,0.09191465464900239,16796.88761773142,3323.918,8239.39974568741,-0.47653913496469613,0.7108807563927257,0.46640634538198356,0.13484780280280284,0.13483872907784447,0.018181482859328343,-0.7103443145606434,-0.07213354112536763,8642.851371701852,9918.772477317414,1.543171246949812,2.3813738877757094,1.543170077397728,-0.0016212463233387098,3.0,1326.538,29.200000762939453,-0.6513118743750965,73924.0,0.6713151931908214,0.0,5,Blanking,pass_000006.parquet,6341408.0,1.0,42.0,6,0,6,119.33700621128082,1754007627.684125,254.3
2406.164450442062,609.1870031356812,5.325732796263301,2.307754925520321,2399.9474245484103,2399.9463149961816,2400.0399581213687,186.2838366590675,119.33700621128082,153.07414613866806,2393.698028203492,2.98,3041.060107163904,0.42774415169154306,769070.0,1006648.0,799044.0,13576.987185878163,0.9293882151716613,11269.973584339834,106.16013180257377,53.133381336927414,12614.963619757704,320.67905589938164,4.22,0.01216512815705785,16582.035780543196,0.08554487255652268,0.292480550732049,320.00513439160557,320.00500072985886,319.0603516995907,320.01634016633034,0.09176727573128596,0.008411943960778389,0.09171665040099529,16657.606884966488,3322.426,8278.0852443196,-0.5212545394751942,0.7130861282494152,0.429546833052882,0.1342297024988007,0.13422107234739605,0.018015296262084927,-0.7248282432410633,-0.054931640643189894,8648.78137891981,9933.789646437355,1.3997869718054967,1.9593991034610903,1.3997853776422622,-0.0014185905311023816,4.0,1326.4270000000001,29.200000762939453,-0.6651639938208973,40730.0,0.6385564804222668,0.0,6,Roughing,pass_000007.parquet,6341408.0,1.0,43.0,7,0,7,411.8547392934561,1754008423.471225,150.1
2407.0342008307994,1039.6526326835155,6.013703504143306,2.452285363521812,2399.9942444586054,2399.9929916003775,2400.003718521838,572.0157945748623,411.8547392934561,513.5685110446215,2392.9732362128775,2.98,3949.037744765606,0.4277857918417737,759673.0,1002539.0,791249.0,14037.42783696,0.5953276570583902,63449.45370652163,251.8917499770916,240.94709825515747,14612.858410391576,320.7720436155796,4.16,0.012270497127421898,16933.89933171376,0.0896843333362724,0.2994734267614948,320.0089435685156,320.00880344063046,319.1640593111515,320.0308710336685,0.09558404723640143,0.0091266702128288,0.09553360776621388,16970.712940524576,3322.0260000000003,8309.580851212168,-0.4977583885047352,0.6914615631249035,0.4658818245079601,0.13672349603815273,0.13671384577126486,0.01869067562556919,-0.7310867309424793,-0.04282593728930806,8749.439070950562,10068.09598617237,1.466392951047326,2.1503040986637676,1.466391522978692,-0.001549720749608241,5.0,1326.026,29.200000762939453,-0.6784319877478993,54606.0,0.737619400038966,0.0,7,Roughing,pass_000008.parquet,6341408.0,1.0,44.0,8,0,8,360.2841044664383,1754008539.371225,266.0
1204.2418924060141,450.0709948539734,2.2359334734267824,1.4953038063974766,1200.0219082695585,1200.0209766472583,1200.0380988604497,363.457004942455,360.2841044664383,360.55458802835005,1196.196701310193,2.8928928928928928,3337.643945903461,0.40617645546250347,1630211.0,2019080.0,1647601.0,13661.60980420596,0.5391937033876462,2101.383493446552,45.840849615234575,252.3125274181366,13888.343214342882,350.6348691880703,4.1441441441441444,0.015645154721817885,16762.64109152277,0.03912209871628691,0.19779307044557176,349.9765524699032,349.9764965774419,349.35007989406586,349.96967017650604,0.09422579721860805,0.008868854105521408,0.09417459373695969,16979.053862962457,3323.031,8518.663511449384,-0.4793286323401844,0.7358431816246593,0.47873258592153434,0.14974650390094454,0.14973785950529486,0.022421426569227427,-0.7294178008887684,-0.003981590289185988,9072.208576128822,10134.938855907323,1.4381215172010384,2.0681893754173273,1.4381200837959698,-0.0017762183997547254,6.0,1327.031,29.200000762939453,-0.7987976074073231,81489.0,0.7629156112816418,0.0,8,Pre-Finishing,pass_000009.parquet,6341408.0,1.0,45.0,9,0,9,129.85002818703651,1754008674.971225,401.6
652.1678331549392,165.93526577949524,0.6945454039043208,0.8333939068077717,650.0014865896516,650.0009523249586,650.0659363821571,130.30955988595292,129.85002818703651,129.3360609586457,647.8915604103136,2.8153762858689766,3076.14221353127,0.38993151667161435,3125102.0,3755503.0,3106210.0,13603.465113290205,1.1876739474272289,252.76473337223584,15.89857645741391,89.21861892938614,12943.882320709326,350.66705346107483,4.4775311315646995,0.025830918126541796,16727.218753085213,0.033869106824313204,0.1840356129240023,350.0014500724167,350.00140168817546,349.42519292235374,350.0036492943764,0.08788571561026652,0.007714267565663288,0.08783090324972918,16991.606582935183,3324.924,8637.192368254406,-0.4441976547095692,0.8045792579796398,0.4597425460960949,0.14652917467515492,0.14652056701975252,0.02146827655978979,-0.7493257522437489,0.005269050579954637,9205.535662827886,10192.120819182463,1.433676322946878,2.0554234523295483,1.4336748070359429,-0.0015616416785633191,7.0,1325.048,29.200000762939453,-0.772535800919286,142910.0,0.7738947868492687,0.0,9,Finishing,pass_000010.parquet,6341408.0,1.0,46.0,10,0,10,147.46644338965416,1754008919.471225,646.1
